[:id, :name, :num_supported_bills, :num_opposed_bills]
[15318, &quot;Rep. Andrew Garbarino (R-NY-2)&quot;, 0, 0]
[15367, &quot;Rep. Nicole Malliotakis (R-NY-11)&quot;, 0, 0]
[17941, &quot;Rep. Jeff Van Drew (R-NJ-2)&quot;, 0, 0]
[400380, &quot;Rep. Chris Smith (R-NJ-4)&quot;, 0, 0]
[400414, &quot;Rep. Fred Upton (R-MI-6)&quot;, 0, 0]
[400440, &quot;Rep. Don Young (R-AK-1)&quot;, 0, 0]
[412211, &quot;Rep. John Yarmuth (D-KY-3)&quot;, 0, 0]
[412393, &quot;Rep. Tom Reed (R-NY-23)&quot;, 0, 0]
[412421, &quot;Rep. Adam Kinzinger (R-IL-16)&quot;, 0, 0]
[412487, &quot;Rep. David McKinley (R-WV-1)&quot;, 0, 0]
[412649, &quot;Rep. John Katko (R-NY-24)&quot;, 0, 0]
[904789, &quot;Rep. Don Bacon (R-NE-2)&quot;, 0, 0]
[904796, &quot;Rep. Brian Fitzpatrick (R-PA-1)&quot;, 0, 0]
[905216, &quot;Rep. Ilhan Omar (D-MN-5)&quot;, 0, 0]
[1269767, &quot;Rep. Alexandria Ocasio-Cortez (D-NY-14)&quot;, 0, 0]
[1269775, &quot;Rep. Anthony Gonzalez (R-OH-16)&quot;, 0, 0]
[1269778, &quot;Rep. Ayanna Pressley (D-MA-7)&quot;, 0, 0]
[1269790, &quot;Rep. Rashida Tlaib (D-MI-13)&quot;, 0, 0]
[1603850, &quot;Rep. Jamaal Bowman (D-NY-16)&quot;, 0, 0]
[1852382, &quot;Rep. Cori Bush (D-MO-1)&quot;, 0, 0]
